"","RESPID","Q 1","Q 2","Q 3","Q 4","Q 5","Q 6","Q 7","Q 8","Q 9","Q 10","Q 11","Q 12","Q 13","Q 14","Q 15","Q 16","Q 17","Q 18","Q 19","Q 20","Q 21","Q 22","Q 23","Q 24","Q 25","Q 26","Q 27","Q 28","Q 29","Q 30","Q 31","Q 32","Q 33","Q 34","Q 35","Q 36","Q 37","Q 38","Q 39","Q 40","Q 41","Q 42","Q 43","Q 44","Q 45","Q 46","Q 47","Q 48","Q 49","Q 50","Q 51","Q 52","Q 53","Q 54","Q 55","Q 56","Q 57","Q 58","Q 59","Q 60","Q 61","Q 62","Q 63","Q 64","Q 65","Q 66","Q 67","Q 68","Q 69","Q 70","Q 71","Q 72","Q 73","Q 74","Q 75","Q 76","Q 77","Q 78","Q 79","Q 80","Q 81"
"947",7358,2,3,3,3,3,2,3,5,4,5,3,3,5,4,3,4,2,5,2,2,4,4,4,5,3,4,4,3,3,0,0,4,5,4,20,1,4,3,4,2,4,5,4,3,3,20,2,14,6,1,1,23,4,3,4,3,3,4,3,4,3,3,4,2,5,3,4,3,4,3,4,4,3,2,4,4,5,5,4,0,0
"450",481331,5,2,3,5,5,1,3,4,1,3,1,2,5,5,5,1,3,5,5,1,5,3,3,5,3,1,1,3,5,0,0,5,7,5,40,1,5,5,5,1,5,3,5,3,5,150,2,11,2,5,4,3,4,4,3,5,5,4,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,3,5,5,4,1,1
"130",484828,3,2,3,4,3,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,3,4,2,1,5,2,6,20,2,4,4,4,3,3,4,3,5,4,60,1,15,5,1,1,5,2,4,4,3,4,4,4,4,4,4,5,3,3,4,4,3,4,4,4,4,4,4,4,3,3,4,4,0,0
"1654",22593,5,2,4,4,4,4,4,4,2,3,4,2,2,3,4,4,4,4,5,4,4,4,3,4,4,1,4,4,4,1,1,5,6,2,30,1,5,1,4,2,2,5,5,3,5,30,2,16,6,1,1,25,5,4,3,4,5,3,4,5,5,4,5,5,3,4,3,4,4,5,3,5,5,5,5,5,5,5,4,1,0
"1655",1349,5,2,3,4,4,4,5,5,3,4,3,4,4,5,5,5,5,5,4,4,5,5,4,4,5,2,4,4,4,1,1,5,5,2,26,4,4,5,4,3,5,4,5,3,3,75,2,18,1,1,2,3,4,4,4,4,4,5,5,5,4,4,4,5,4,3,5,4,5,4,4,4,5,4,5,3,5,4,4,1,0
"616",3650,4,5,4,5,4,5,3,4,4,5,5,4,5,5,5,4,4,5,5,5,5,4,5,5,5,5,4,4,5,0,0,5,5,5,30,1,2,2,3,2,4,2,4,2,4,4,1,13,6,1,2,54,3,4,5,5,4,4,5,3,4,4,4,2,5,4,5,5,5,5,5,3,5,5,5,5,5,5,4,1,0
"301",18411,5,4,5,5,5,4,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,5,5,4,4,5,5,5,5,1,1,5,4,6,25,3,5,5,5,3,3,3,3,3,3,50,1,18,1,1,3,5,5,5,5,5,5,5,5,5,5,2,5,2,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,0,0
"834",236610,5,2,1,4,3,2,2,5,1,3,4,3,3,3,3,4,4,4,4,3,4,3,5,4,4,2,3,3,4,1,1,5,2,4,18,3,4,4,4,3,5,3,3,3,3,30,1,1,3,1,3,23,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,0,1
"2799",20243,4,4,2,3,3,4,4,5,3,2,4,4,2,2,3,3,3,4,4,2,4,3,4,4,4,2,3,2,4,1,1,4,2,1,20,3,3,3,3,2,4,3,3,3,3,10,1,10,1,1,1,5,2,3,3,3,3,3,3,3,3,2,3,4,2,4,4,4,3,4,4,3,4,3,3,3,3,3,3,0,0
"2361",485564,2,2,1,4,2,2,2,4,3,3,1,3,2,3,1,3,3,3,3,3,4,4,3,5,3,1,2,3,4,1,1,4,2,2,21,2,1,1,5,3,5,1,3,3,2,12,2,15,1,1,3,18,5,5,4,4,5,4,4,4,5,4,3,2,3,3,5,3,2,2,4,5,4,5,4,2,5,4,5,0,0
"37",473192,4,4,3,4,3,4,4,4,3,3,4,2,3,3,4,3,3,4,4,3,4,4,3,4,3,3,3,3,4,1,1,3,4,7,32,3,4,4,4,2,3,3,4,4,4,40,1,13,1,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1
"2595",231899,4,3,3,4,3,4,3,3,4,3,3,3,3,3,3,4,3,4,4,3,4,3,3,4,3,3,3,3,4,2,1,5,4,2,36,3,3,4,4,2,2,3,4,3,4,30,2,14,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1
"1559",235833,2,3,3,4,3,4,3,4,4,3,2,4,3,3,4,4,4,4,4,3,4,4,4,5,4,3,2,2,4,1,1,5,4,3,24,2,4,5,4,2,3,4,5,3,5,20,1,19,1,1,3,1,4,2,2,3,2,2,2,2,4,3,3,2,2,2,2,2,4,3,4,3,3,4,4,2,2,4,2,0,0
"880",224884,5,2,4,4,4,4,4,4,2,2,3,3,3,4,3,4,4,4,5,3,4,4,3,4,3,2,4,3,4,1,1,4,3,4,23,2,4,3,2,3,4,3,4,2,4,90,1,15,1,5,3,39,4,3,3,4,5,4,5,4,2,2,2,2,2,2,4,2,5,5,4,4,3,4,4,1,4,4,5,0,0
"1187",470482,4,2,3,3,3,4,4,3,3,3,3,2,3,3,3,2,3,5,5,3,5,4,3,4,3,3,5,4,5,1,1,3,4,3,23,4,3,5,4,1,3,4,5,3,4,80,2,1,3,7,3,84,5,3,3,3,3,3,3,3,4,2,3,4,4,4,3,3,4,3,4,4,4,4,4,3,3,4,3,1,1
"2192",422769,4,4,3,3,3,3,3,4,3,3,4,4,2,2,3,3,3,4,4,2,4,4,4,3,4,2,3,4,4,1,1,4,2,2,32,4,4,1,4,2,4,4,3,4,2,72,1,12,2,5,4,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,5,4,4,3,4,3,3,0,1
"1853",2685,5,3,4,5,5,4,5,5,3,5,2,3,4,4,5,3,4,5,5,4,5,5,4,5,4,3,3,4,5,1,1,3,3,2,20,1,5,4,4,1,2,2,5,1,4,10,2,19,6,5,3,84,5,5,5,5,2,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,1,0
"806",227941,4,3,3,4,4,4,4,4,3,4,3,4,3,3,4,3,3,4,4,3,4,4,3,4,4,4,3,4,4,0,0,4,5,4,30,3,5,5,5,2,3,4,4,4,4,45,2,17,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,0,1
"769",23838,4,2,3,4,3,4,3,3,3,4,2,3,4,4,4,2,2,4,5,2,4,4,2,4,4,3,3,2,4,0,0,4,2,4,30,1,5,5,3,1,4,3,5,3,4,130,2,1,1,4,1,54,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,2,3,4,3,1,1
